case_id,legal_domain,case_type
CASE-000497,Human Rights & PIL,Public Interest Litigation
CASE-000498,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000499,Consumer Protection,Deficiency in Service Complaint
CASE-000500,Arbitration,Arbitral Award Challenge
CASE-000501,Administrative Law,Administrative Order Challenge
CASE-000502,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000503,Human Rights & PIL,Public Interest Litigation
CASE-000504,Human Rights & PIL,Public Interest Litigation
CASE-000505,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000506,White Collar Crime,Money Laundering / Corruption Case
CASE-000507,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000508,Tax & GST,GST / Tax Assessment Appeal
CASE-000509,Education Law,Student Admission / Examination Dispute
CASE-000510,Media & Defamation,Defamation Suit
CASE-000511,Property & Land,Property / Partition Suit
CASE-000512,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000513,Environmental Law,Environmental Clearance Challenge
CASE-000514,Intellectual Property,Trademark Infringement
CASE-000515,Intellectual Property,Trademark Infringement
CASE-000516,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000517,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000518,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000519,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000520,Family & Succession,Inheritance / Probate
CASE-000521,Education Law,Student Admission / Examination Dispute
CASE-000522,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000523,Child Protection,POCSO / Child Protection Proceeding
CASE-000524,Employment & Labour,Wrongful Termination
CASE-000525,Administrative Law,Administrative Order Challenge
CASE-000526,Human Rights & PIL,Public Interest Litigation
CASE-000527,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000528,Family & Succession,Inheritance / Probate
CASE-000529,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000530,Corporate & Commercial,Commercial Contract Dispute
CASE-000531,Criminal Law,Criminal Trial
CASE-000532,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000533,Medical Negligence,Medical Negligence Complaint
CASE-000534,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000535,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000536,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000537,Corporate & Commercial,Commercial Contract Dispute
CASE-000538,Medical Negligence,Medical Negligence Complaint
CASE-000539,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000540,Consumer Protection,Deficiency in Service Complaint
CASE-000541,Family & Succession,Inheritance / Probate
CASE-000542,Media & Defamation,Defamation Suit
CASE-000543,Human Rights & PIL,Public Interest Litigation
CASE-000544,Child Protection,POCSO / Child Protection Proceeding
CASE-000545,Consumer Protection,Deficiency in Service Complaint
CASE-000546,Employment & Labour,Wrongful Termination
CASE-000547,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000548,Family & Succession,Inheritance / Probate
CASE-000549,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000550,Property & Land,Property / Partition Suit
CASE-000551,Consumer Protection,Deficiency in Service Complaint
CASE-000552,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000553,Divorce & Matrimonial,Divorce Petition
CASE-000554,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000555,Media & Defamation,Defamation Suit
CASE-000556,Criminal Law,Criminal Trial
CASE-000557,Arbitration,Arbitral Award Challenge
CASE-000558,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000559,Human Rights & PIL,Public Interest Litigation
CASE-000560,Family & Succession,Inheritance / Probate
CASE-000561,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000562,Tax & GST,GST / Tax Assessment Appeal
CASE-000563,Consumer Protection,Deficiency in Service Complaint
CASE-000564,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000565,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000566,Employment & Labour,Wrongful Termination
CASE-000567,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000568,Child Protection,POCSO / Child Protection Proceeding
CASE-000569,Consumer Protection,Deficiency in Service Complaint
CASE-000570,Education Law,Student Admission / Examination Dispute
CASE-000571,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000572,Environmental Law,Environmental Clearance Challenge
CASE-000573,Divorce & Matrimonial,Divorce Petition
CASE-000574,Environmental Law,Environmental Clearance Challenge
CASE-000575,Corporate & Commercial,Commercial Contract Dispute
CASE-000576,Child Protection,POCSO / Child Protection Proceeding
CASE-000577,Consumer Protection,Deficiency in Service Complaint
CASE-000578,Consumer Protection,Deficiency in Service Complaint
CASE-000579,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000580,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000581,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000582,Human Rights & PIL,Public Interest Litigation
CASE-000583,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000584,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000585,Tax & GST,GST / Tax Assessment Appeal
CASE-000586,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000587,Arbitration,Arbitral Award Challenge
CASE-000588,White Collar Crime,Money Laundering / Corruption Case
CASE-000589,Tax & GST,GST / Tax Assessment Appeal
CASE-000590,Intellectual Property,Trademark Infringement
CASE-000591,Medical Negligence,Medical Negligence Complaint
CASE-000592,Employment & Labour,Wrongful Termination
CASE-000593,Child Protection,POCSO / Child Protection Proceeding
CASE-000594,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000595,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000596,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000597,Child Protection,POCSO / Child Protection Proceeding
CASE-000598,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000599,Property & Land,Property / Partition Suit
CASE-000600,Child Protection,POCSO / Child Protection Proceeding
CASE-000601,Child Protection,POCSO / Child Protection Proceeding
CASE-000602,Corporate & Commercial,Commercial Contract Dispute
CASE-000603,Media & Defamation,Defamation Suit
CASE-000604,Divorce & Matrimonial,Divorce Petition
CASE-000605,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000606,Medical Negligence,Medical Negligence Complaint
CASE-000607,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000608,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000609,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000610,Family & Succession,Inheritance / Probate
CASE-000611,White Collar Crime,Money Laundering / Corruption Case
CASE-000612,White Collar Crime,Money Laundering / Corruption Case
CASE-000613,Consumer Protection,Deficiency in Service Complaint
CASE-000614,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000615,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000616,Tax & GST,GST / Tax Assessment Appeal
CASE-000617,Corporate & Commercial,Commercial Contract Dispute
CASE-000618,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000619,Consumer Protection,Deficiency in Service Complaint
CASE-000620,Employment & Labour,Wrongful Termination
CASE-000621,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000622,Arbitration,Arbitral Award Challenge
CASE-000623,Arbitration,Arbitral Award Challenge
CASE-000624,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000625,Corporate & Commercial,Commercial Contract Dispute
CASE-000626,Property & Land,Property / Partition Suit
CASE-000627,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000628,Employment & Labour,Wrongful Termination
CASE-000629,Divorce & Matrimonial,Divorce Petition
CASE-000630,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000631,Intellectual Property,Trademark Infringement
CASE-000632,White Collar Crime,Money Laundering / Corruption Case
CASE-000633,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000634,Intellectual Property,Trademark Infringement
CASE-000635,Child Protection,POCSO / Child Protection Proceeding
CASE-000636,Medical Negligence,Medical Negligence Complaint
CASE-000637,White Collar Crime,Money Laundering / Corruption Case
CASE-000638,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000639,Intellectual Property,Trademark Infringement
CASE-000640,Employment & Labour,Wrongful Termination
CASE-000641,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000642,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000643,Employment & Labour,Wrongful Termination
CASE-000644,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000645,Arbitration,Arbitral Award Challenge
CASE-000646,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000647,Family & Succession,Inheritance / Probate
CASE-000648,Human Rights & PIL,Public Interest Litigation
CASE-000649,Arbitration,Arbitral Award Challenge
CASE-000650,Education Law,Student Admission / Examination Dispute
CASE-000651,Family & Succession,Inheritance / Probate
CASE-000652,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000653,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000654,White Collar Crime,Money Laundering / Corruption Case
CASE-000655,Criminal Law,Criminal Trial
CASE-000656,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000657,Divorce & Matrimonial,Divorce Petition
CASE-000658,Administrative Law,Administrative Order Challenge
CASE-000659,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000660,Divorce & Matrimonial,Divorce Petition
CASE-000661,Intellectual Property,Trademark Infringement
CASE-000662,Child Protection,POCSO / Child Protection Proceeding
CASE-000663,Administrative Law,Administrative Order Challenge
CASE-000664,Divorce & Matrimonial,Divorce Petition
CASE-000665,Environmental Law,Environmental Clearance Challenge
CASE-000666,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000667,Medical Negligence,Medical Negligence Complaint
CASE-000668,Tax & GST,GST / Tax Assessment Appeal
CASE-000669,Property & Land,Property / Partition Suit
CASE-000670,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000671,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000672,Property & Land,Property / Partition Suit
CASE-000673,Intellectual Property,Trademark Infringement
CASE-000674,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000675,Child Protection,POCSO / Child Protection Proceeding
CASE-000676,Tax & GST,GST / Tax Assessment Appeal
CASE-000677,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000678,Human Rights & PIL,Public Interest Litigation
CASE-000679,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000680,Criminal Law,Criminal Trial
CASE-000681,Child Protection,POCSO / Child Protection Proceeding
CASE-000682,Arbitration,Arbitral Award Challenge
CASE-000683,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000684,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000685,Education Law,Student Admission / Examination Dispute
CASE-000686,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000687,Corporate & Commercial,Commercial Contract Dispute
CASE-000688,Human Rights & PIL,Public Interest Litigation
CASE-000689,Administrative Law,Administrative Order Challenge
CASE-000690,Property & Land,Property / Partition Suit
CASE-000691,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000692,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000693,Environmental Law,Environmental Clearance Challenge
CASE-000694,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000695,Human Rights & PIL,Public Interest Litigation
CASE-000696,Family & Succession,Inheritance / Probate
CASE-000697,White Collar Crime,Money Laundering / Corruption Case
CASE-000698,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000699,Arbitration,Arbitral Award Challenge
CASE-000700,Administrative Law,Administrative Order Challenge
CASE-000701,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000702,Child Protection,POCSO / Child Protection Proceeding
CASE-000703,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000704,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000705,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000706,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000707,Corporate & Commercial,Commercial Contract Dispute
CASE-000708,Medical Negligence,Medical Negligence Complaint
CASE-000709,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000710,Child Protection,POCSO / Child Protection Proceeding
CASE-000711,Media & Defamation,Defamation Suit
CASE-000712,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000713,Property & Land,Property / Partition Suit
CASE-000714,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000715,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000716,Child Protection,POCSO / Child Protection Proceeding
CASE-000717,Environmental Law,Environmental Clearance Challenge
CASE-000718,Intellectual Property,Trademark Infringement
CASE-000719,Environmental Law,Environmental Clearance Challenge
CASE-000720,Administrative Law,Administrative Order Challenge
CASE-000721,Media & Defamation,Defamation Suit
CASE-000722,Employment & Labour,Wrongful Termination
CASE-000723,Criminal Law,Criminal Trial
CASE-000724,Employment & Labour,Wrongful Termination
CASE-000725,Education Law,Student Admission / Examination Dispute
CASE-000726,Tax & GST,GST / Tax Assessment Appeal
CASE-000727,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000728,Arbitration,Arbitral Award Challenge
CASE-000729,Family & Succession,Inheritance / Probate
CASE-000730,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000731,White Collar Crime,Money Laundering / Corruption Case
CASE-000732,Property & Land,Property / Partition Suit
CASE-000733,Medical Negligence,Medical Negligence Complaint
CASE-000734,Family & Succession,Inheritance / Probate
CASE-000735,White Collar Crime,Money Laundering / Corruption Case
CASE-000736,Education Law,Student Admission / Examination Dispute
CASE-000737,Administrative Law,Administrative Order Challenge
CASE-000738,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000739,Intellectual Property,Trademark Infringement
CASE-000740,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000741,Employment & Labour,Wrongful Termination
CASE-000742,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000743,Administrative Law,Administrative Order Challenge
CASE-000744,Employment & Labour,Wrongful Termination
CASE-000745,Family & Succession,Inheritance / Probate
CASE-000746,Arbitration,Arbitral Award Challenge
CASE-000747,Education Law,Student Admission / Examination Dispute
CASE-000748,Consumer Protection,Deficiency in Service Complaint
CASE-000749,Human Rights & PIL,Public Interest Litigation
