case_id,legal_domain,case_type,combo_text
CASE-000085,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000086,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-000087,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000088,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000089,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-000090,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-000091,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-000092,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000093,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000094,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-000095,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-000096,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000097,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000098,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000099,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-000100,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-000101,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-000102,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000103,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-000104,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
